"GEOID","INVERSE_DIST_10mile","INVERSE_DIST_20mile","COUNT_5mile"
"51001980100",0,0,0
"51001980200",0,0,0
"51007930100",0,0,0
"51013100100",2.9799474449347e-05,3.41262108165077e-05,420
"51013100200",2.17120182117718e-05,2.50914682079755e-05,374
"51013100300",1.65994880998254e-05,1.99719275113296e-05,322
"51013100400",3.06792265888648e-05,3.67490513674961e-05,336
"51013100500",3.30715971925813e-05,3.78575720762161e-05,374
"51013100600",5.0656150493453e-05,5.74566520717419e-05,393
"51013100700",3.07560604689275e-05,3.47018365799153e-05,410
"51013100800",0.000106736470174511,0.000119833110054211,399
"51013100900",3.76114031678985e-05,4.2525698366646e-05,421
"51013101000",5.00649937295572e-05,5.67635497644656e-05,434
"51013101100",2.91365866853648e-05,3.30029366964216e-05,442
"51013101200",4.62203221514697e-05,5.17246271665137e-05,494
"51013101300",2.79821020182412e-05,3.1336497187934e-05,458
"51013101401",0.000143586386676651,0.000160168443539624,430
"51013101402",6.97161893310082e-05,7.73712322226618e-05,406
"51013101403",4.75658281967095e-05,5.12849075053298e-05,410
"51013101404",4.83694607474541e-05,5.32123393644769e-05,401
"51013101500",2.21547352164373e-05,2.50117009597331e-05,354
"51013101601",9.85240449233001e-05,0.000113564163920519,308
"51013101602",9.79521749338866e-05,0.00011026837784851,332
"51013101603",4.48953489012129e-05,5.03671276134916e-05,313
"51013101701",4.78025161045267e-05,5.24433120314917e-05,336
"51013101702",3.35459357492493e-05,3.73678975068721e-05,315
"51013101703",6.76783865451944e-05,7.56957598528483e-05,325
"51013101801",7.12234924894649e-05,7.90023647077559e-05,363
"51013101802",2.9592686535833e-05,3.28566539513975e-05,348
"51013101803",4.18694688832329e-05,4.72860888071094e-05,386
"51013101900",6.24475605807036e-05,6.97769538244438e-05,403
"51013102001",8.30289004080364e-05,9.23633538272268e-05,442
"51013102002",0.000144247784765184,0.000159471671177785,417
"51013102003",4.18350807971652e-05,4.65777715069761e-05,450
"51013102100",7.36808857749177e-05,8.20867776579181e-05,477
"51013102200",2.32815800565716e-05,2.58680737633815e-05,494
"51013102301",0.000115399058380738,0.000129434520775985,461
